Target	Alternate ID	SAO	HIP	WDS	Con	RA 2000	Dec 2000	Mm	X	PSA	season	Parent	Pair	PA	SepSec	MagC	M1	M2	Notes	Type
HD 105590	TYC 5522-01685-1	SAO 157111	HIP 59272	STF1604	Crv	12 09.5	-11 51	100.0	70.0	47.0	spring(2)	STF1604	AB	88	9.0	6.8	6.9	10.0	Very cool. Tight. Equilateral triangle. B faint. Fantastic colours at 217x! Yellow and red. Sparse field.	Physical
				STF1604							spring(2)		AC	3	10.5		6.9	8.1	C, aka SAO 157112, is brighter than B. To the N. Fantastic colours again, A yellow; C blue.	Optical
Algorab	Delta Crv, 7 Crv	SAO 157323	HIP 60965	SHJ 145	Crv	12 29.9	-16 31	100.0	50.0	47.0	spring(2)	SHJ 145	AB	215	24.0	3.0	3.0	8.5	Contrasting brightness. Wide. Pretty at low power. Main is white or pale yellow. Companion: white.	Uncertain
HD 109556	TYC 5530-02065-1	SAO 157384	HIP 61466	STF1659	Crv	12 35.7	-12 01	100.0	40.0	47.0	spring(2)	STF1659	AB	351	28.1	7.3	7.9	8.3	Lots going on! A triad shape, close faint pair in the middle. A is to the south. Slightly warmer colour.	Physical
				STF1659							spring(2)		AC	69	43.8		7.9	10.9	Extremely faint, spotted at 139x. Right angle to A and B. Blue-white. Near HD 109875.	Uncertain
				STF1659							spring(2)		AD	32	189.8		7.9	9.9	D was very faint to the NE. Further out from A than E. Blue-white.	Optical
				STF1659							spring(2)		AE	275	151.2		7.9	6.8	West (opposite C, a right-angle again). Fairly bright. Tiny bit closer to A than the D star. Blue-white.	Optical
				STF1659							spring(2)		AF	139	209.4		7.9	6.6	F brightest of all the members, to the SE. Slightly further from A than D. Blue-white.	Optical
2 CVn	HR 4666	SAO 44097	HIP 59831	STF1622	CVn	12 16.1	+40 40	90.0	70.0	43.0	spring(2)	STF1622	AB	260	12.1	5.8	5.9	8.7	Colourful pair. Orange and blue. Pleasingly close at 78x. Lovely.	Optical
Cor Caroli	Alpha 2 CVn, 12 CVn	SAO 63257	HIP 63125	STF1692	CVn	12 56.0	+38 19	90.0	70.0	43.0	spring(2)	STF1692	AB	230	19.5	2.8	2.9	5.5	Main very white blue, partner pale yellow green? Fairly close. Easy to separate at 40x Nice at 48x!	Physical
HR 4698	HD 107398	SAO 82254	HIP 60197	STF1633	Com	12 20.7	+27 03	90.0	100.0	45.0	spring(2)	STF1633	AB	245	8.9	6.3	7.0	7.1	Not far from open cluster Collinder 256. WSW. Pale yellow, both.	Uncertain
12 Com	HR 4707	SAO 82273	HIP 60351	SHJ 143	Com	12 22.5	+25 51	100.0	25.0	45.0	spring(2)	SHJ 143	AB	57	36.7	4.9	4.9	11.8	Fainter than the eastern triangle stars including TYC 1989-0807 1. Shown as single star in PSA.	Optical
				SHJ 143							spring(2)		AC	168	59.0		4.9	8.9	To the S. Wide pair, about double AB. Yellow and orange. Within open cluster Collinder 256.	Physical
				ARN  6							spring(2)		AD	132	213.1		4.9	10.1	A star further along, more to the east, making a hockey stick with A and C, same brightness as C.	Optical
24 Com	HR 4792	SAO 100160	HIP 61418	STF1657	Com	12 35.1	+18 23	90.0	70.0	45.0	spring(2)	STF1657	AB	272	20.2	4.8	5.1	6.3	A nice wide colourful double. Yellow is the primary and white-blue is the secondary.	Physical
HD 110932	TYC 0881-00563-1	SAO 100236	HIP 62248	STF1678	Com	12 45.4	+14 22	90.0	45.0	45.0	spring(2)	STF1678	AB	170	37.5	6.7	7.2	7.7	Nearly equal stars. Maybe orange. And white or yellow. Nice. Quite wide at 48x but attractive.	Optical
32 Com	HR 4884	SAO 100309	HIP 62807	STFA 23	Com	12 52.2	+17 04	90.0	25.0	45.0	spring(2)	STFA 23	AB	51	196.3	6.0	6.5	7.0	Extremely wide at medium power. 32-33 Com. Orange and blue. To the NE.	Optical
				STFA 23							spring(2)		AC	262	905.1		6.5	9.0	C star is dim grey or yellow. A and C might be opposite edges of field of view at very low power!	Optical
HD 112278	TYC 0885-01206-1	SAO 100337	HIP 63081	STF1689	Vir	12 55.5	+11 30	100.0	50.0	45.0	spring(2)	STF1689	AB	223	30.2	6.9	7.1	9.1	In a hook shape of stars. Tight pair. Yellow-white  and orange-red. Challenging. Near NGC 4762.	Optical
Asellus Tertius	Kappa 2 Boo, 17 Boo	SAO 29046	HIP 69483	STF1821	Boo	14 13.5	+51 47	90.0	100.0	42.0	spring(2)	STF1821	AB	236	13.7	4.4	4.5	6.6	Beside iota Boo. Two in the view. Nice double. Pale yellow and very pale blue?	Physical
Iota Boo	Asellus Secundus, 21 Boo	SAO 29071	HIP 69713	STFA 26	Boo	14 16.2	+51 22	90.0	45.0	42.0	spring(2)	STFA 26	AB	33	38.9	4.7	4.8	7.4	Beside kappa Boo. Two in the view. Main pale yellow; companion medium pale orange.	Physical
Delta Boo	49 Boo, Thiba	SAO 64589	HIP 74666	STFA 27	Boo	15 15.5	+33 19	100.0	25.0	53.0	spring(2)	STFA 27	AB	78	105.0	3.6	3.6	7.9	Yellow and pale blue-green. Wide. Easy at 48x. ENE.	Physical
Alkalurops	Mu 1 Boo, 51 Boo	SAO 64686	HIP 75411	STFA 28	Boo	15 24.5	+37 23	90.0	25.0	53.0	spring(2)	STFA 28	AB	172	109.0	4.2	4.3	7.1	At 54x, a wide pair. Primary pale yellow or white. Companion quite dim. White? South.	Physical
				STF1938							spring(2)		Ba,Bb	4	2.3		7.1	7.6	Split at 145x. Both white. Angle of tight pair almost same A and the pair.	Binary
HR 5397	HD 126367, BU 225	SAO 158558	HIP 70518	SHJ 179	Lib	14 25.5	-19 58	100.0	25.0	46.0	spring(2)	SHJ 179	AB	296	35.0	6.1	6.6	7.2	NW. Nice. Nearly equal brightness. White or yellow and orange. Surrounded by doubles.	Physical
				BU  225							spring(2)		BC	91	1.2		7.2	8.4	Very tight. Large aperture and good seeing needed. C east of B.	Physical
Zuben Elgenubi	Alpha 2 Lib, 9 Lib	SAO 158840	HIP 72622	SHJ 186	Lib	14 50.9	-16 03	35.0	7.0	46.0	spring(2)	SHJ 186	AB	314	231.1	2.6	2.7	5.2	Use binoculars! Extremely wide. White, bright; pale orange. NW.	Physical
				AOT 53							spring(2)		AC	291	275.6		2.7	12.5	Even further away but so dim a telescope is needed. WNW.	Uncertain
HR 5816	HD 139461	SAO 140672	HIP 76603	STF1962	Lib	15 38.7	-08 47	90.0	70.0	57.0	spring(2)	STF1962	AB	190	11.7	5.7	6.4	6.5	A nice pair in a 100mm at 55x. Pleasing, tight. Equally bright. Identical in colour: pale yellow.	Physical
HD 139691	TYC 2577-01756-1	SAO 64821	HIP 76563	HU 1167	CrB	15 38.2	+36 15	100.0	70.0	53.0	spring(2)	HU 1167	AB	81	1.2	7.3	8.1	9.9	Requires aperture greater than 90mm. Near Zeta 1 and 2 Coronae Borealis. E of A.	Binary
				STF1964							spring(2)		AC	90	14.5		8.1	8.1	Wide, equal brightness. Orange and blue. C is due E of A. Fainter than zeta CrB.	Physical
				STF1964							spring(2)		AD	84	15.1		8.1	9.0	Dim. C and D are inline and are very close to each other. Likely merged together.	Physical
HR 6043	HD 145802	SAO 65129	HIP 79350	STT 305	CrB	16 11.7	+33 21	90.0	100.0	53.0	spring(2)	STT 305	AB	263	5.7	6.4	6.4	10.2	B medium-bright star immediately west, very close, almost touching primary! Beige and pale blue.	Physical
Sigma CrB	17 CrB, TZ Crb	SAO 65165	HIP 79607	STF2032	CrB	16 14.7	+33 51	150.0	100.0	53.0	spring(2)	STF2032	AB	239	7.3	5.2	5.6	6.5	Nice double star. Similar magnitudes. Pretty tight. White; pale orange. Oriented NE to SW.	Binary
				STF2032							spring(2)		AD	82	93.5		5.6	10.8	Faint. Very wide. Nearly due E of A.	Optical
				STF2032							spring(2)		AE	241	634.8		5.6	12.3	Dimmer. Extraordinarily wide. To the SW, beyond B.	Physical
HD 144564	TYC 0957-00526-1	SAO 101922	HIP 78875	STF2007	Ser (Cap)	16 06.0	+13 19	90.0	70.0	55.0	spring(3)	STF2007	AB	322	37.5	6.6	6.9	8.0	Colourful stars. A is yellow with a hint orange while B is white. B is NW. Nice triple. Interesting field.	Optical
				STF2007							spring(3)		AC	137	162.7		6.9	10.8	Wide pair, easily separated. Opposite B. The C attendant is in an arc of stars. Serpens Caput.	Optical
Xi Sco	Grafias, HR 5978	SAO 159665	HIP 78727	STF1998	Sco	16 04.4	-11 22	90.0	100.0	56.0	summer(1)	STF1998	AB	9	1.1	5.1	5.2	4.9	Grafias. Very low through high power. AB is super-tight. Pale gold both. Big 'scope and 200x?	Binary
				STF1998							summer(1)		AC	43	7.5		5.2	7.3	Colourful stars. NE of A. Bright stars. C is easy split, at low power. C is orange.	Binary
Theta 1 Ser	Alya, 63 Ser	SAO 124068	HIP 92946	STF2417	Ser (Cau)	18 56.2	+04 12	90.0	45.0	65.0	summer(1)	STF2417	AB	104	22.5	4.0	4.6	4.9	aka Alya. Identical stars, like eyes. Tight. A nice double, white stars. Serpens Cauda. ESE.	Physical
				STF2417							summer(1)		AC	58	421.0		4.6	6.8	Slightly fainter but much further out. NE. White and yellow.	Optical
Rasalgethi	Alpha 1 Her, 64 Her	SAO 102680	HIP 84345	STF2140	Her	17 14.6	+14 23	100.0	150.0	54.0	summer(1)	STF2140	AB	103	4.6	3.3	3.5	5.4	Lovely. A brilliant shimmering orange star with pale blue companion. Relatively tight at 217x.	Binary
				STF2140							summer(1)		AD	39	79.2		3.5	11.1	D obvious in good conditions. To the NE. White. Comparatively far away.	Optical
100 Her	HR 6781	SAO 85753	HIP 88818	STF2280	Her	18 07.8	+26 06	90.0	45.0	65.0	summer(1)	STF2280	AB	183	14.3	5.0	5.8	5.8	A and B are Identical. Exact same brightness and colour. Both white. South.	Optical
				STF2280							summer(1)		AC	127	79.9		5.9	11.8	Dim, to the SE, and about 5 times the AB separation.	Uncertain
17 Dra	HR 6185	SAO 30013	HIP 81292	STF2078	Dra	16 36.2	+52 55	150.0	140.0	52.0	summer(1)	STF2078	AB	104	3.3	5.0	5.4	6.4	Very tight. Switch from low power to high power. ESE. Both white.	Physical
				STFA 30							summer(1)		AC	193	90.0		5.4	5.5	16 and 17 Draconis might well be a binocular target. Similar colours and brightness. Nice. South.	Physical
				STFA 30							summer(1)		CD	123	123.9		5.5	11.2	Possible beyond the light grasp of binoculars or a small telescope. To the SE.	Optical
Kuma	Nu 2 Dra, 25 Dra	SAO 30450	HIP 85829	STFA 35	Dra	17 32.3	+55 10	90.0	25.0	52.0	summer(1)	STFA 35	AB	311	62.1	4.1	4.9	4.9	aka Dragon's Eyes. Wide. Same brightness. One is white; the other a hint of yellow. Very good.	Physical
Dsiban	Psi 1 Dra, 31 Dra	SAO 8890	HIP 86614	STF2241	Dra	17 41.9	+72 09	90.0	45.0	51.0	summer(1)	STF2241	AB	17	30.1	4.2	4.6	5.6	Wide pair. Surprisingly. Main bright yellow; companion dark yellow or yellow with a hint of orange.	Binary
				STF2241							summer(1)		AC	107	78.1		4.6	11.1	Dim and twice the separation. Right angle. C is nearly due E of A.	Optical
41 Dra	HR 6810	SAO 8996	HIP 88136	STF2308	Dra	18 00.2	+80 00	90.0	70.0	61.0	summer(1)	STF2308	AB	232	18.8	5.1	5.7	6.0	Nice. Wide. Nearly equal colour and brightness. Not very colourful...  SW.	Binary
				STF2308							summer(1)		AC	129	224.8		5.7	8.3	Wide pair, C is to the SE. Surprisingly close to Ursa Minor.	Optical
HR 7083	HD 174208	SAO 142661	HIP 92391	H 6  50	Sct	18 49.7	-05 55	100.0	25.0	67.0	summer(1)	H 6 50	AB	358	24.8	6.0	6.2	12.5	Dim close-in companion. Due N. Beside Wild Duck Cluster.	Uncertain
				H 6  50							summer(1)		AC	171	111.8		6.2	8.2	The stars looked yellow and blue. Wide. S.	Optical
Epsilon 1 Lyr	Double Double, 4 Lyr	SAO 67310	HIP 91919	STF2382	Lyr	18 44.3	+39 40	150.0	140.0	63.0	summer(1)	STF2382	AB	345	2.3	3.9	5.2	6.1	Tight pair to the north. This pair is the same colour, white.	Binary
				STFA 37							summer(1)		AB,CD	172	209.5		4.7	4.6	The Double Double. Tim Horton Star! :-) Easy in binoculars. Can you see naked eye?! White.	Physical
				STF2383							summer(1)		CD	74	2.4		5.3	5.4	Tight pair to the south. Slightly different colours. Subtle. 90° angle to AB alignment.	binary
				STFA 37							summer(1)		AI	137	149.5		5.2	10.1	Faint. Bright, east of F. Easily seen at 226x. Pale yellow.	Optical
				SHJ 277							summer(1)		CF	0	93.3		4.6	12.7	Very faint. Between AB and CD. Closer to AB and eastward. Use averted. Pale yellow.	Uncertain
				STF2383							summer(1)		CE	334	63.2		5.3	12.3	Very faint. Between AB and CD. Westward. Brighter than F. Pale yellow.	Optical
Sheliak	Beta Lyr, 10 Lyr	SAO 67451	HIP 92420	STFA 39	Lyr	18 50.1	+33 22	90.0	45.0	63.0	summer(1)	STFA 39	AB	149	45.7	3.5	3.6	6.7	Close at 17x but wide at 71x. Primary brilliant white with hint of yellow. Secondary looks green.	Uncertain
				BU  293							summer(1)		AE	317	67.2		3.6	10.1	No trouble at 78x. Blue-white? To the NW.	Optical
				BU  293							summer(1)		AF	18	86.0		3.6	10.6	Blue-white? To the NE. This whole multi-star system is not far from the Ring Nebula.	Uncertain
HR 7140	HD 175635	SAO 67566	HIP 92833	STT 525	Lyr	18 54.9	+33 58	90.0	45.0	63.0	summer(1)	STT 525	AB	130	1.8	5.9	6.1	9.1	Very faint companion very close to the primary. Visible in large 'scope. Orange or yellow.	Uncertain
				SHJ 282							summer(1)		AC	350	45.4		6.1	7.6	Nice wide double. Classic colours: pale yellow and pale blue. Near the Ring Nebula. To the N.	Physical
				SHJ 282							summer(1)		AD	295	214.8		6.1	11.0	Very faint and far from primary. To the NW.	Optical
HR 7099	HD 174569	SAO 104170	HIP 92475	STF2404	Aql	18 50.8	+10 59	150.0	140.0	65.0	summer(1)	STF2404	AB	182	3.5	6.5	6.9	7.8	Pretty. South. Yellow and orange at lower power. Interesting. Near open cluster NGC 6709.	Uncertain
15 Aql	h Aql, HR 7225	SAO 142996	HIP 93717	SHJ 286	Aql	19 05.0	-04 02	90.0	45.0	67.0	summer(1)	SHJ 286	AB	211	39.6	5.3	5.5	7.0	Very interesting pair. Hard to get colours. Bright one seemed a dark yellow; companion looks red.	Optical
