sequence	Target	AlternateID	WDS	Con	RA2000	Dec2000	Mag	MaxSepSec	Notes
90	8 Lac	HR 8603	STF2922	Lac	22 35.9	+39 38	[5.2, 5.7, 6.3]	335.2	6,󰥮9cm,45x,autumn(1)<NEWLINE>AB (Optical), PA: 186, Sep: 22.3<SECS>, Mag: 5.7/6.3 Both white? Or pale yellow? B to the south. Slightly dimmer than A. Near double HR 8588.<NEWLINE>AC (Uncertain), PA: 168, Sep: 48.8<SECS>, Mag: 5.7/10.4 C was further south of B, slightly east, much dimmer. Orange!<NEWLINE>AD (Uncertain), PA: 145, Sep: 81.6<SECS>, Mag: 5.7/9.1 D was brighter than C, south-east of B, and blue.<NEWLINE>AE (Optical), PA: 239, Sep: 335.2<SECS>, Mag: 5.7/7.3 E, well away to the SW, pale orange, dimmer than B.<NEWLINE>BF (Uncertain), PA: 175, Sep: 127.6<SECS>, Mag: 6.3/11.0 Dimmer still. And well away from B, same direction, but not as far as E.
91	10 Lac	HR 8622	S 813	Lac	22 39.3	+39 03	[4.8, 4.8, 10.3]	62.6	2,󰥮10cm,25x,autumn(1)<NEWLINE>AB (Optical), PA: 47, Sep: 62.6<SECS>, Mag: 4.8/10.3 Bright star, blue-white. B might look purple!? B much fainter. Cool! Shown as single star in PSA.
92	WZ Cas	HD 224855	STTA254	Cas	00 01.3	+60 21	[7.0, 7.4, 8.3]	181.4	4,󰥮10cm,25x,autumn(1)<NEWLINE>AB (Uncertain), PA: 89, Sep: 57.8<SECS>, Mag: 7.4/8.3 Incredible. Wide. A, orange, B, blue. In a rich field. May not be obvious. Due E.<NEWLINE>AC (Uncertain), PA: 324, Sep: 155.4<SECS>, Mag: 7.4/9.6 Forms a spire. Well away to the north-west. Fainter.<NEWLINE>AD (Optical), PA: 118, Sep: 181.4<SECS>, Mag: 7.4/10.4 Opposite C from the B star. Fainter still.
93	HR 9094	HD 225009	STF3053	Cas	00 02.6	+66 06	[5.7, 6.0, 7.2]	98.5	3,󰥮9cm,70x,autumn(1)<NEWLINE>AB (Optical), PA: 70, Sep: 15.0<SECS>, Mag: 6.0/7.2 A little Albireo. Lovely light gold primary and a wide blue companion. Almost equal brightness. E.<NEWLINE>AC (Uncertain), PA: 291, Sep: 98.5<SECS>, Mag: 6.0/11.0 Much fainter and much further away. To the NW.
94	Achird	Eta Cas, 24 Cas	STF 60	Cas	00 49.1	+57 49	[3.5, 3.5, 7.4]	701.1	10,󰥮10cm,100x,autumn(1)<NEWLINE>AB (binary), PA: 326, Sep: 13.4<SECS>, Mag: 3.5/7.4 Wow! Burnt yellow and dull orange. Close, to the NW.<NEWLINE>AC (Optical), PA: 260, Sep: 225.0<SECS>, Mag: 3.5/11.4 Faint and wide. Between B and G. Due W of A.<NEWLINE>AD (Optical), PA: 354, Sep: 189.4<SECS>, Mag: 3.5/12.8 D star to the N. Faint.<NEWLINE>AE (Optical), PA: 126, Sep: 75.6<SECS>, Mag: 3.5/10.2 E star to the south-east. Blue. In-line with A and B.<NEWLINE>AF (Optical), PA: 276, Sep: 378.3<SECS>, Mag: 3.5/11.5 To the west. Faint. Orange.<NEWLINE>AG (Optical), PA: 259, Sep: 419.7<SECS>, Mag: 3.5/9.5 G star to the west of A and south of F. White.<NEWLINE>AH (Optical), PA: 355, Sep: 701.1<SECS>, Mag: 3.5/8.4 H star far to the north.<NEWLINE>AI (Optical), PA: 73, Sep: 90.3<SECS>, Mag: 3.5/11.6 Faint and wide. NE.<NEWLINE>AJ (Uncertain), PA: 262, Sep: 237.1<SECS>, Mag: 3.5/12.3 Faint and wide.
95	Pi And	29 And	H 5  17	And	00 36.9	+33 43	[4.3, 4.4, 7.1]	35.8	2,󰥮10cm,50x,autumn(1)<NEWLINE>AB (Physical), PA: 174, Sep: 35.8<SECS>, Mag: 4.4/7.1 Wide, easy, low power. Nice yellow and blue. B south. Faint 3rd star. Shown as single star in PSA.
96	56 And	HR 557	STFA  4	And	01 56.2	+37 15	[5.2, 5.8, 6.1]	204.4	4,󰥮5cm,10x,autumn(1)<NEWLINE>AB (Optical), PA: 298, Sep: 202.5<SECS>, Mag: 5.8/6.1 Equal in brightness. Citrus-orange and pale or straw-yellow. Binoculars? Near NGC 752.<NEWLINE>AC (Physical), PA: 79, Sep: 18.4<SECS>, Mag: 5.8/11.9 Faint. Much closer. East.<NEWLINE>BD (Optical), PA: 258, Sep: 204.4<SECS>, Mag: 6.1/9.8 Further out from B star. Nearly due W of B.
97	Almaak	Gamma 1, Almach, 57 And	STF 205	And	02 03.9	+42 20	[2.2, 2.3, 5.0]	9.4	2,󰥮9cm,100x,autumn(1)<NEWLINE>AB (Physical), PA: 63, Sep: 9.4<SECS>, Mag: 2.3/5.0 A close pair of yellow (A) and blue (BC) stars, like a miniature Albireo. Beautiful.
98	59 And	HR 628	STF 222	And	02 10.9	+39 02	[5.6, 6.1, 6.7]	16.5	2,󰥮9cm,70x,autumn(1)<NEWLINE>AB (Physical), PA: 36, Sep: 16.5<SECS>, Mag: 6.1/6.7 Wide pair. Yellow and blue. Wow. NE.
99	77 Psc	HR 313	STF 90	Psc	01 05.8	+04 54	[6.0, 6.4, 7.3]	32.7	2,󰥮9cm,45x,autumn(1)<NEWLINE>AB (Physical), PA: 84, Sep: 32.7<SECS>, Mag: 6.4/7.3 B is bright star to the east of A. Nearly the same magnitude. Wide. Yellow and pale yellow.
