"CON","NAME           ","R.A.   ","DEC.  ","COMP","OTHER NAMES               ","Mag ","Mag2","SEP  ","PA ","NOTES                                                        ","U2K","TIR","BSA","SAO   "
"PER","Mu Per         ","04 14.9","+48 24","AB  ","STTA  73                  ","4.3 ","11.8","14.8 ","349","                                                             ","64 ","5  ","4  ","39404 "
"PER","Mu Per         ","04 14.9","+48 24","AQ  ","STTA  73                  ","4.3 ","12.6","50.4 ","124","                                                             ","64 ","5  ","4  ","39404 "
"PER","STF  512       ","04 15.8","+45 24","    ","                          ","8.8 ","8.8 ","5.2  ","220","                                                             ","64 ","5  ","4  ","39422 "
"PER","STT  77        ","04 15.9","+31 42","    ","                          ","8   ","8.1 ","0.7  ","   ","                                                             ","95 ","5  ","4  ","57110 "
"PER","STF  519       ","04 20.9","+50 23","AB  ","                          ","7.9 ","9.4 ","18.3 ","346","In cluster NGC 1545                                          ","39 ","1  ","1  ","24554 "
"PER","STT  47        ","04 21.0","+50 15","    ","                          ","7.3 ","8.2 ","73   ","327","K2 F8; CoCo; YR/W                                            ","39 ","1  ","1  ","      "
"PER","STF  521       ","04 21.8","+50 02","    ","                          ","7.5 ","9.6 ","2.1  ","257","G0                                                           ","39 ","1  ","1  ","39484 "
"PER","STF  533       ","04 24.4","+34 19","    ","                          ","7.2 ","8.7 ","19.6 ","61 ","                                                             ","96 ","5  ","4  ","      "
"PER","56 Per         ","04 24.6","+33 58","    ","                          ","5.9 ","8.7 ","4.2  ","22 ","F5                                                           ","96 ","5  ","4  ","57216 "
"PER","STF  552       ","04 31.4","+40 01","    ","                          ","7   ","7.2 ","9    ","114","W/W; Matched Pair                                            ","65 ","5  ","4  ","57279 "
"PER","57 Per         ","04 33.4","+43 04","AB  ","                          ","6.1 ","8.8 ","116.2","198","F0 F0; Bino pair                                             ","65 ","5  ","4  ","39604 "
"PER","STF  565       ","04 38.1","+42 07","AB  ","                          ","7.5 ","8.8 ","1.4  ","170","                                                             ","65 ","5  ","4  ","39660 "
"PER","STF  565       ","04 38.1","+42 07","AC  ","                          ","7.5 ","11.5","29.5 ","109","                                                             ","65 ","5  ","4  ","      "
"PER","STF  565       ","04 38.1","+42 07","AD  ","                          ","7.5 ","11  ","71.6 ","52 ","                                                             ","65 ","5  ","4  ","      "
"PER","STF  577       ","04 42.3","+37 30","    ","                          ","8.6 ","8.6 ","0.9  ","4  ","F8                                                           ","96 ","5  ","4  ","57379 "
"PHE","Xi Phe         ","00 41.7","-56 30","    ","h 3387                    ","5.8 ","10.2","13.2 ","253","                                                             ","417","24 ","9  ","232152"
"PHE","h 3390         ","00 43.3","-45 11","    ","                          ","7.1 ","9.7 ","14   ","313","CoCo; O/B; little group of stars with color                  ","387","18 ","3  ","215208"
"PHE","h 3395         ","00 45.8","-41 55","    ","                          ","8.4 ","8.9 ","5.7  ","91 ","R/R; Matched Pair                                            ","387","18 ","3  ","      "
"PHE","Beta Phe       ","01 06.1","-46 43","    ","                          ","4.1 ","4.2 ","0.7  ","307","Binary; P.A.decreasing. 11th mag. star at 57''               ","387","18 ","3  ","215365"
"PHE","Zeta Phe       ","01 08.4","-55 15","    ","                          ","4.1 ","8   ","6.5  ","243","Little change. A is variable.                                ","417","24 ","9  ","232306"
"PHE","Theta Phe      ","23 39.5","-46 38","    ","Dunlop 251                ","6.6 ","7.2 ","3.9  ","275","Relatively fixed.                                            ","386","23 ","8  ","231740"
"PIC","Iota Pic       ","04 50.9","-53 27","    ","Dunlop  18                ","5.6 ","6.4 ","12.5 ","58 ","Relatively fixed.                                            ","421","24 ","9  ","233709"
"PIC","15 Pic         ","06 38.0","-61 32","    ","Innes 5                   ","6.4 ","8.5 ","2.9  ","269","Carbon star SAO 249602 in field                              ","446","24 ","9  ","249604"
"PSA","h 5311         ","21 59.5","-29 03","AB  ","                          ","7.1 ","10.6","40.6 ","292","K0                                                           ","383","23 ","8  ","190798"
"PSA","h 5311         ","21 59.5","-29 03","AC  ","                          ","    ","10.9","48.6 ","227","                                                             ","383","23 ","8  ","      "
"PSA","Eta PsA        ","22 00.8","-28 27","    ","                          ","5.8 ","6.8 ","1.7  ","115","B8; BW/BW                                                    ","383","23 ","8  ","190822"
"PSA","Beta PsA       ","22 31.5","-32 21","    ","                          ","4.4 ","7.9 ","30.3 ","172","CoCo; YW/B                                                   ","384","23 ","8  ","213883"
"PSA","Dunlop 241     ","22 36.6","-31 40","    ","                          ","5.8 ","7.6 ","89.5 ","31 ","Fine object                                                  ","384","23 ","8  ","213948"
