catalog_identifier	name	long_name	ra	dec	magnitude	major_axis	Type	Const
649	Har 649	alpha Cen	219.945833333333	60.1586111111111	-0.01	0	***	Cen
650	Har 650	NGC 5694	220.191666666667	-26.5496888888889	10.2	3.6	Gb	Hya
651	Har 651	pi Boo	220.2125	16.4030555555556	4.5	0	D*	Boo
652	Har 652	zeta Boo	220.316666666667	13.7130555555556	3.8	0	D*	Boo
653	Har 653	BU 414	220.504166666667	-30.9438555555556	6.4	0	D*	Cen
654	Har 654	alpha Lup	220.525	-47.3974666666667	2.3	0	D*	Lup
655	Har 655	alpha Cir	220.679166666667	-64.9833	3.2	0	D*	Cir
656	Har 656	NGC 5746	221.266666666667	1.95833333333333	10	7.9	Gx	Vir
657	Har 657	36 Boo	221.275	27.0580555555556	2.4	0	D*	Boo
658	Har 658	54 Hya	221.5375	-25.4544444444444	5.2	0	D*	Hya
659	Har 659	5 Lib	221.525	-15.4717	6.3	0	D*	Lib
660	Har 660	HJ 4698	221.8	-52.3921888888889	5.2	0	D*	Lup
661	Har 661	STF 1884	222.125	24.3511111111111	6.2	0	D*	Boo
662	Har 662	mu Lib	222.366666666667	-14.1611111111111	5.3	0	D*	Lib
663	Har 663	xi Boo	222.875	19.0855222222222	4.5	0	D*	Boo
664	Har 664	I 236	223.370833333333	-73.1971888888889	5.6	0	D*	Aps
665	Har 665	HJ 4715	224.175	-47.8877444444444	5.6	0	D*	Lup
666	Har 666	HN 28	224.25	-21.4167	5.8	0	D*	Lib
667	Har 667	59 Hya	224.7	-27.6678111111111	5.7	0	D*	Hya
668	Har 668	kappa Cen	224.833333333333	-42.1133333333333	3.1	0	D*	Cen
669	Har 669	IC 4499	225.179166666667	-82.2197555555556	10	7.6	Gb	Aps
670	Har 670	delta Lib	225.279166666667	-8.53114444444445	4.9	0	D*	Lib
671	Har 671	BU 348	225.4875	-0.153333333333333	5.7	0	D*	Vir
672	Har 672	NGC 5824	226	-33.0667	9	6.2	Gb	Lup
673	Har 673	sigma Lib	226.054166666667	25.7258666666667	3.25	0	***	Lib
674	Har 674	pi Lup	226.325	-47.0594444444444	3.9	0	D*	Lup
675	Har 675	NGC 5822	226.383333333333	-54.3541666666667	7	40	OC	Lup
676	Har 676	CaPO 15	226.658333333333	-72.1767	6.9	0	D*	Aps
677	Har 677	STF 1910	226.916666666667	9.2125	6.7	0	D*	Boo
678	Har 678	NGC 5844	227.975	-64.6969111111111	13.2	0	PN	TrA
679	Har 679	kappa Lup	228.029166666667	-48.7458	3.9	0	D*	Lup
680	Har 680	iota Lib	228.091666666667	-19.8022222222222	4.5	0	D*	Lib
681	Har 681	NGC 5873	228.25	-38.1346888888889	13	0.1	PN	Lup
682	Har 682	NGC 5882	229.25	-45.6575	11	0.1	PN	Lup
683	Har 683	The Ghost Globular	229.3875	-21.0205888888889	8	12.6	Gb	Lib
684	Har 684	STF 1932	229.6	26.8189222222222	0	0	D*	CrB
685	Har 685	mu Lup	229.679166666667	-47.8830888888889	4.3	0	D*	Lup
