004.5+06.8 |17 27 36.  -21 26 36. d 67.30013|H 2-12       |  4+06 1 |17276-2126 |HARO 1952                       |ESO 588-04,VV' 208
004.6+06.0 |17 30 37.5 -21 44 16.   76..9055|H 1-24       |  4+06 2 |17306-2144 |HARO 1952                       |ARO 253,ESO 588-05,He 2- 244,VV' 215
004.7-11.8 |18 41 01.2 -30 21 32.   80..1575|He 2-418     |  4-11 2 |           |HENIZE 1964                     |ESO 458-04,Sa 2-360,StWr 2-15,Wray 16- 417
004.8+02.0 |17 45 57.5 -23 42 00.   76..9055|H 2-25       |  4+02 1 |17459-2342 |HARO 1952                       |ESO 520-30,VV' 258
004.8-05.0 |18 13 03.3 -27 16 01.   76..9055|M 3-26       |  4-05 1 |18130-2715 |MINKOWSKI 1948                  |ESO 522-10,He 2- 378,Sa 2-320,VV' 379,Wray 16- 398
004.8-22.7 |19 28 51.5 -34 18 59.   73..9034|He 2-436     |  4-22 1 |19288-3419 |HENIZE 1964                     |ESO 398-07,Sa 2-391,StWr 2-25
004.9+04.9 |17 35 29.50-22 06 58.4  90..1502|M 1-25       |  4+04 1 |17355-2206 |MINKOWSKI 1946                  |ARO 255,ESO 588-13,He 2- 259,Sa 2-224,VV 108,VV' 226
004.9-04.9 |18 13 09.5 -27 05 37.   76..9055|M 1-44       |  4-04 2 |18131-2705 |MINKOWSKI 1946                  |ESO 522-11,He 2- 379,VV 165,VV' 380,Wray 16- 399
005.0+03.0 |17 42 34.8 -23 01 17.   67.30013|Pe 1- 9      |  5+03 1 |           |PEREK 1960                      |ESO 520-22,Sa 3- 71,VV' 244
005.0+04.4 |17 37 17.0 -22 17 45.   76..9055|H 1-27       |  5+04 1 |17372-2217 |HARO 1952                       |ARO 258,ESO 588-16,He 2- 265,Sa 2-227,VV' 229
005.0-03.9 |18 09 16.  -26 33 42. d 81..1503|H 2-42       |  5-03 2 |           |HARO 1952                       |ESO 522-02,VV' 365
005.1-03.0 |18 06 07.  -26 03 00. d 81..1503|H 1-58       |  5-03 1 |18061-2603 |HARO 1952                       |ESO 521-34,Sa 2-303,VV' 354,Wray 17- 111
005.1-08.9 |18 29 21.  -28 45 36. d 80..1575|Hf 2-2       |  5-08 1 |18293-2845 |HOFFLEIT 1953                   |ESO 457-16,He 2- 407,Sa 3-135,Wray 16- 414
005.2+04.2 |17 38 36.  -22 11 36. d 81..1551|M 3-13       |  5+04 2 |17385-2211 |MINKOWSKI 1948                  |ESO 588-17,VV' 230
005.2+05.6 |17 33 24.  -21 29     a 81..1551|M 3-12       |  5+05 1 |17334-2129 |MINKOWSKI 1948                  |ESO 588-10,He 2- 255,Sa 2-221,VV' 222
005.2-18.6 |19 11 08.9 -32 39 31.   72.30006|StWr 2-21    |         |           |STOCK et al 1972                |ESO 397-07,Sa 2-383
005.4-01.9 |18 02 18.3 -25 12 54.   88.30862|PBOZ 34      |         |18023-2513 |POTTASCH et al 1988             |
005.5+02.7 |17 45 06.  -22 45 48. d 77..1552|H 1-34       |  5+02 1 |17451-2245 |HARO 1952                       |ESO 520-28,VV' 253
005.5+06.1 |17 32 22.  -20 55 24. d 81..1551|M 3-11       |  5+06 1 |17323-2055 |MINKOWSKI 1948                  |ESO 588-09,He 2- 254,Sa 3- 66,VV' 221
005.5-02.5 |18 04 48.  -25 24 30. d 81..1503|M 3-24       |  5-02 1 |18048-2524 |MINKOWSKI 1948                  |ESO 521-30,He 2- 350,Sa 2-300,VV'348,Wray 17- 110
005.5-04.0 |18 10 34.  -26 09 36. d 81..1503|H 2-44       |  5-04 1 |18105-2609 |HARO 1952                       |ESO 522-07,Sa 3-124,VV' 371
005.6-04.7 |18 13 46.8 -26 24 31.   88..2065|KFL 16       |         |           |KINMAN et al 1988               |
005.7-03.6 |18 09 39.0 -25 45 12.   88..2065|KFL 13       |         |           |KINMAN et al 1988               |
005.7-05.3 |18 16 18.0 -26 36 37.   76..9055|M 2-38       |  5-05 1 |18163-2636 |MINKOWSKI 1947                  |ARO 272,ESO 522-17,He 2- 388,Sa 2-328,VV 172,VV' 392,Wray 16- 406
