042.5-14.5 |   28.   87...536, 67.30013
042.9-06.9 |    2.   71..9065                    |   0.8  90..1502
043.0-03.0 |    7.4  71..9065                    |   7.   89..1570
043.1+03.8 |    3.6  71..9065                    |   4.0  89..1570
043.1+37.7 |   16.2  71..9065
043.3+02.2 |   14.   90..1004
043.3+11.6 |    1.   CK 88
043.5-13.4 |   67.   71..9065
044.0+05.2 |    8. : CS 90                       |   4.   90..1502
044.1+05.8 |    0.   90..1004
044.3+10.4 |  135.   78.10519
044.3-05.6 |   12.   91.30002
045.4-02.7 |   14.   91.30002                    |   0.5   ZPB 89
045.6+01.5 |    0.   CS 90
045.6+24.3 |   47.   71..9065
045.7-04.5 |   35.   87...536, 71..9065
045.9-01.9 |    0.   CS 90                       |   1.1  90..1502
046.3-03.1 |   12. : CS 90                       |   9.0  90..1502
046.4-04.1 |    5.5  87...536, 71..9065          |   2.4  84..2631
046.8+02.9 |   10.   90..1004
046.8+03.8 |  600.   90..1004
047.0+42.4 |  174.   71..9065
047.1+04.1 |    7.2  71..9065
047.1-04.2 |  161.   71..9065
048.0-02.3 |   10.   91.30002                    |   8.0  90..1502
048.1+01.1 |    0.   CS 90                       |   1.   90..1502
048.5+04.2 |    0.   CS 90                       |   3.   90..1502
048.7+01.9 |    4.2  71..9065
048.7+02.3 |    6.2  71..9065
048.7-01.5 |   40.   80..1011
049.3+88.1 |    2.7  81..1008
049.4+02.4 |    9.6  71..9065                    |   8.   89..1570
050.1+03.3 |   81.   71..9065                    |  90.   89..1570
050.4+05.2 |   37.   71..9065
050.4-01.6 |    0.   CS 90                       |   0.6  90..1502
051.0+02.8 |    0.   86..2788
051.0+03.0 |<   5.   91.30002                    |   1.7  90..1502
051.0-04.5 |   20. : CS 90
051.3+01.8 |   20.   90..2003
051.4+09.6 |    2.6  81..1008                    |   1.8  90..1502
051.5+06.1 |   45.   71..9065
051.9+25.8 |   43.   71..9065
051.9-03.8 |    5.   71..9065                    |   6.   89..1570
052.2+07.6 |   30. : 91.30002
052.2-04.0 |<   5.   91.30002                    |   1.0  89..1570
052.5-02.9 |<   8.   91.30002                    |   4.7  89..1570
052.9+02.7 |    0.   CS 90                       |   1.5  90..1502
052.9-02.7 |    0.   CS 90                       |   0.5  90..1502
053.2-01.5 |    4.   71..9065                    |   4.7  89..1570
053.3+03.0 |   87.   71..9065                    |  75.   89..1570
053.3+24.0 |    4.6  71..9065
053.8-03.0 |   40.   71..9065
054.1-12.1 |   15.   71..9065
054.4-02.5 |<  10.   67.30013                    |   0.7  90..1502
055.1-01.8 |    2.8  71..9065
055.2+02.8 |    5.   CK 88                       |   2.3  90..1502
055.3+02.7 |    5.4  71..9065                    |   8.   89..1570
055.3+06.6 |   56.   71..9065
055.4+16.0 |   63.   71..9065
055.5-00.5 |    3.8  67.30013                    |   2.9  89..1570
055.6+02.1 |    5.   67.30013                    |   4.7  89..1570
056.0+02.0 |    0.   CS 90                       |   1.7  90..1502
056.4-00.9 |    3.4  71..9065                    |   1.2  90..1502
056.8-06.9 |   15. : CS 90
057.2-08.9 |    5.   71..9065, 87...536          |   5.   89..1570
057.9-01.5 |    5. : 91.30002                    |   1.2  90..1502
058.3-10.9 |    1.6  81..1008, 71..9065          |   1.6  84..2631
058.6+06.1 |   37.   71..9065
058.6-05.5 |  150.   81..1143
058.9+01.3 |    0.   CS 90                       |   4.   90..1502
059.0+04.6 |    9.6  71..9065
059.0-01.7 |    8.   67.30013
059.4+02.3 |    0.   CS 90                       |   2.5  90..1502
059.7-18.7 |  127.   71..9065
059.9+02.0 |    0.   CS 90                       |   1.   90..1502
060.0-04.3 |   38.   71..9065
060.1-07.7 |    5.5  87...536, 71..9065
060.3-07.3 |   29.   87...536, 71..9065
060.4+01.5 |    0.   91.30001
060.5+01.8 |    3. : 91.30002                    |   2.2  90..1502
060.5-00.3 |    6.8  71..9065
060.8-03.6 |  402.   87...536, 67.30013
061.0+08.0 |   16.4  71..9065
061.3+03.6 |    7.2  71..9065
