|NAME         |OTHER NAMES                        |CON|RA J2K |DecJ2K|V   |B-V |SPEC. |NOTES                                                       |
|RY Cyg       |BD +35 4002; CCCS 2873             |CYG|20 10.4|+35 57| 8.5|2.82|N     |Period Irr; 8.5-10m; NW edge of CL NGC 6883                 |
|RS Cyg       |SAO 69636; HD 192443; CCCS 2880    |CYG|20 13.4|+38 44| 6.5|3.31|N0p   |Period 417 days; 6.5-9.3m; just NE of Crescent Nebula       |
|U Cyg        |SAO 49477; HD 193680; CCCS 2894    |CYG|20 19.6|+47 54| 6.7|3.31|Np;C9 |Period 456 days; 6.7-11m; Strong color                      |
|RW Cyg       |BD+39 4208                         |CYG|20 28.8|+39 59| 8.8|2.9 |M3    |                                                            |
|V Cyg        |BD +47 3167a; CCCS 2923            |CYG|20 41.3|+48 08| 6.8|4.04|Ne    |Period 420 days; 7.8-13.8m; Red!                            |
|AZ Cyg       |BD +45 3349                        |CYG|20 58.0|+46 28| 8.5|2.6 |M2    |                                                            |
|61 Cyg       |SAO 70919; STF 2728                |CYG|21 06.9|+38 45| 5.2|1.18|K5    |Dbl* 5.2/6m 31 sec PA 150; two red dwarf stars; unique      |
|YY Cyg       |BD +41 4114; CCCS 3025             |CYG|21 22.5|+42 24| 8.5|2.6 |N     |Variable 8.5-9.5m                                           |
|W Cyg        |SAO 51079                          |CYG|21 36.0|+45 22| 5.5|1.58|M5    |                                                            |
|V 460 Cyg    |SAO 71613; DS Peg = V460 Cyg       |CYG|21 42.0|+35 31| 6.1|2.52|N1;C6 |Period Irr; 5.6-7.0m                                        |
|RV Cyg       |HD 206750; CCCS 3063               |CYG|21 43.3|+38 01| 7.1|2.45|N5;C6 |Period 300 days; 7.1-9.3m; Very Red!                        |
|BD +53 2693  |                                   |CYG|21 44.1|+53 42| 9.6|2.59|      |in CL NGC 7128                                              |
|LW Cyg       |BD +49 3673; HD 208512; CCCS 3080  |CYG|21 55.2|+50 30| 8.9|4.42|R2    |Very Red                                                    |
|HH Del       |CCCS 2900                          |DEL|20 25.4|+17 54| 9.5|2.1 |N     |                                                            |
|R Dor        |SAO 249066; HD 29712               |DOR|04 36.8|-62 05| 5.7|1.6 |M7    |Variable 5.3-6.3; Largest star measured                     |
|Eta 2 Dor    |SAO 249469                         |DOR|06 11.3|-65 35| 5.1|1.62|M2    |4 deg NE of LMC                                             |
|RY Dra       |SAO 15945; HD 112559; CCCS 2047    |DRA|12 56.4|+66 00| 6.1|3.26|N4    |Period 170 days; 6.0-8.2m                                   |
|T Dra        |BD +58 1772a; CCCS 2512            |DRA|17 56.4|+58 13| 7.2|2.7 |Ne    |Period 422 days; 7.2-13m; Visual Double star                |
